code;name;email;category_id
1;Jorge da Silva;jorge@terra.com.br;1
2;Flavia Monteiro;flavia@globo.com;2
3;Marcos Frota Ribeiro;ribeiro@gmail.com;2
4;Raphael Souza Santos;rsantos@gmail.com;1
5;Pedro Paulo Mota;ppmota@gmail.com;1
6;Winder Carvalho da Silva;winder@hotmail.com;3
7;Maria da Penha Albuquerque;mpa@hotmail.com;3
8;Rafael Garcia Souza;rgsouza@hotmail.com;3
9;Tabata Costa;tabata_costa@gmail.com;2
10;Ronil Camarote;camarote@terra.com.br;1
11;Joaquim Barbosa;barbosa@globo.com;1
12;Eveline Maria Alcantra;ev_alcantra@gmail.com;2
13;João Paulo Vieira;jpvieria@gmail.com;1
14;Carla Zamborlini;zamborlini@terra.com.br;3
